,(년-월-일:시),PM10등급,PM10,PM2.5등급,PM2.5,오존등급,오존,이산화질소등급,이산화질소,일산화탄소등급,일산화탄소,아황산가스등급,아황산가스
135,2021-05-09:24,좋음,28.0,좋음,10.0,좋음,0.026,보통,0.036,좋음,0.4,좋음,0.003
136,2021-05-09:23,좋음,28.0,좋음,9.0,보통,0.037,좋음,0.026,좋음,0.4,좋음,0.003
137,2021-05-09:22,좋음,29.0,좋음,10.0,보통,0.044,좋음,0.019,좋음,0.3,좋음,0.003
138,2021-05-09:21,보통,34.0,좋음,12.0,보통,0.046,좋음,0.018,좋음,0.3,좋음,0.003
139,2021-05-09:20,보통,35.0,좋음,12.0,보통,0.045,좋음,0.021,좋음,0.3,좋음,0.004
140,2021-05-09:19,보통,37.0,좋음,12.0,보통,0.055,좋음,0.014,좋음,0.3,좋음,0.003
141,2021-05-09:18,보통,37.0,좋음,10.0,보통,0.058,좋음,0.012,좋음,0.3,좋음,0.004
142,2021-05-09:17,보통,42.0,좋음,8.0,보통,0.059,좋음,0.009,좋음,0.3,좋음,0.003
143,2021-05-09:16,보통,40.0,좋음,6.0,보통,0.057,좋음,0.007,좋음,0.3,좋음,0.003
144,2021-05-09:15,보통,40.0,좋음,7.0,보통,0.056,좋음,0.005,좋음,0.3,좋음,0.002
145,2021-05-09:14,보통,33.0,좋음,7.0,보통,0.052,좋음,0.006,좋음,0.3,좋음,0.003
146,2021-05-09:13,보통,48.0,좋음,5.0,보통,0.051,좋음,0.005,좋음,0.3,좋음,0.002
147,2021-05-09:12,보통,60.0,좋음,6.0,보통,0.049,좋음,0.005,좋음,0.3,좋음,0.003
148,2021-05-09:11,보통,58.0,좋음,9.0,보통,0.047,좋음,0.006,좋음,0.3,좋음,0.003
149,2021-05-09:10,보통,47.0,좋음,5.0,보통,0.043,좋음,0.008,좋음,0.3,좋음,0.003
150,2021-05-09:09,보통,47.0,좋음,6.0,보통,0.038,좋음,0.009,좋음,0.3,좋음,0.003
151,2021-05-09:08,보통,65.0,보통,16.0,좋음,0.028,좋음,0.019,좋음,0.4,좋음,0.003
152,2021-05-09:07,보통,75.0,보통,20.0,좋음,0.02,좋음,0.022,좋음,0.4,좋음,0.002
153,2021-05-09:06,보통,63.0,보통,17.0,좋음,0.021,좋음,0.02,좋음,0.4,좋음,0.002
154,2021-05-09:05,보통,59.0,좋음,15.0,좋음,0.029,좋음,0.014,좋음,0.4,좋음,0.003
155,2021-05-09:04,보통,51.0,좋음,13.0,보통,0.034,좋음,0.011,좋음,0.3,좋음,0.003
156,2021-05-09:03,보통,59.0,보통,16.0,보통,0.034,좋음,0.011,좋음,0.3,좋음,0.002
157,2021-05-09:02,나쁨,82.0,보통,19.0,보통,0.035,좋음,0.012,좋음,0.3,좋음,0.003
158,2021-05-09:01,나쁨,141.0,보통,27.0,보통,0.036,좋음,0.013,좋음,0.4,좋음,0.002
159,2021-05-08:24,매우나쁨,233.0,나쁨,44.0,좋음,0.028,좋음,0.026,좋음,0.4,좋음,0.003
160,2021-05-08:23,매우나쁨,274.0,나쁨,49.0,보통,0.033,좋음,0.024,좋음,0.4,좋음,0.003
161,2021-05-08:22,매우나쁨,300.0,나쁨,50.0,보통,0.038,좋음,0.02,좋음,0.4,좋음,0.002
162,2021-05-08:21,매우나쁨,313.0,나쁨,55.0,보통,0.044,좋음,0.016,좋음,0.4,좋음,0.003
163,2021-05-08:20,매우나쁨,297.0,나쁨,52.0,보통,0.048,좋음,0.014,좋음,0.4,좋음,0.002
164,2021-05-08:19,매우나쁨,312.0,나쁨,53.0,보통,0.051,좋음,0.013,좋음,0.4,좋음,0.003
165,2021-05-08:18,매우나쁨,310.0,나쁨,53.0,보통,0.055,좋음,0.012,좋음,0.4,좋음,0.003
166,2021-05-08:17,매우나쁨,298.0,나쁨,54.0,보통,0.055,좋음,0.013,좋음,0.4,좋음,0.003
167,2021-05-08:16,매우나쁨,280.0,나쁨,48.0,보통,0.052,좋음,0.013,좋음,0.3,좋음,0.003
168,2021-05-08:15,매우나쁨,252.0,나쁨,43.0,보통,0.05,좋음,0.012,좋음,0.3,좋음,0.003
169,2021-05-08:14,매우나쁨,299.0,나쁨,54.0,보통,0.047,좋음,0.012,좋음,0.3,좋음,0.003
170,2021-05-08:13,매우나쁨,354.0,나쁨,66.0,보통,0.044,좋음,0.012,좋음,0.3,좋음,0.003
171,2021-05-08:12,매우나쁨,390.0,나쁨,66.0,보통,0.036,좋음,0.017,좋음,0.4,좋음,0.003
172,2021-05-08:11,매우나쁨,468.0,매우나쁨,81.0,보통,0.031,좋음,0.02,좋음,0.4,좋음,0.003
173,2021-05-08:10,매우나쁨,577.0,매우나쁨,101.0,좋음,0.022,좋음,0.023,좋음,0.4,좋음,0.003
174,2021-05-08:09,매우나쁨,636.0,매우나쁨,113.0,좋음,0.017,좋음,0.026,좋음,0.5,좋음,0.003
175,2021-05-08:08,매우나쁨,638.0,매우나쁨,111.0,좋음,0.011,좋음,0.029,좋음,0.4,좋음,0.003
176,2021-05-08:07,매우나쁨,658.0,매우나쁨,116.0,좋음,0.014,좋음,0.025,좋음,0.4,좋음,0.003
177,2021-05-08:06,매우나쁨,722.0,매우나쁨,123.0,좋음,0.013,좋음,0.023,좋음,0.5,좋음,0.002
178,2021-05-08:05,매우나쁨,759.0,매우나쁨,134.0,좋음,0.016,좋음,0.018,좋음,0.4,좋음,0.003
